,DAY,base,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,USD,ZAR
10,2020-01-16,USD,1.4428328409,1.7510967857,4.1650102964,1.3035186677,0.961500582,6.8794878682,22.5355895783,6.6907511863,0.7652430835,7.772584833,6.6629062584,298.8987375772,13630.0026860059,3.4537559316,70.9293580446,122.6609365207,109.9471752171,1158.4474885845,18.793177545,4.0627630047,8.8690124452,1.5013877697,50.8335571672,3.7894171367,4.2788074134,61.6082012714,9.4617244158,1.3452412929,30.3652968037,5.8521801415,1.0,14.4354015579
11,2020-01-17,USD,1.4513863882,1.7607129996,4.1762693554,1.3051854519,0.966510623,6.8586604249,22.6386388189,6.7274936982,0.7661595247,7.7684551674,6.6958948506,302.1155923659,13670.2466690673,3.4544472452,71.0809326611,123.6946344977,110.1098307526,1159.8577601728,18.755671588,4.0548253511,8.902592726,1.5108030248,50.9074540871,3.8140979474,4.303474973,61.441753691,9.4931580843,1.3467770976,30.3799063738,5.8807166006,1.0,14.4564277998
12,2020-01-20,USD,1.4572846189,1.7643662607,4.1822282364,1.3069012179,0.9686062246,6.8662156067,22.6657645467,6.7411817772,0.7692828146,7.7683355886,6.7079837618,303.4641407307,13638.5205232296,3.4574650429,71.0726206585,124.1317095174,110.1849345963,1160.198466396,18.6684709066,4.0615245828,8.9142986017,1.5152007217,50.9598556608,3.8279657194,4.3115922418,61.5313486694,9.5216959856,1.348037889,30.3536310329,5.9182679296,1.0,14.5281912494
13,2020-01-21,USD,1.4554206028,1.7596041386,4.1980206928,1.3056230319,0.9665317139,6.9034637877,22.5515069726,6.7228969861,0.7650022492,7.7698605488,6.6914080072,301.6824111561,13673.3153396311,3.4552406658,71.196131354,123.9766081871,110.04048583,1167.8992352677,18.7309041835,4.0715249663,8.9392712551,1.5124606388,51.0022492128,3.8180836707,4.2991452991,61.8353576248,9.4937471885,1.3489878543,30.400359874,5.9323436797,1.0,14.4758434548
14,2020-01-22,USD,1.4595959596,1.7638888889,4.1924603175,1.3045634921,0.9701479076,6.9020562771,22.6695526696,6.7396284271,0.7615891053,7.7714646465,6.7077020202,302.6785714286,13652.3358585859,3.4522907648,71.1277958153,124.2784992785,109.9657287157,1163.933982684,18.7064393939,4.0654761905,8.9817821068,1.5135281385,50.9550865801,3.821969697,4.3095238095,61.9529220779,9.5173160173,1.3486652237,30.3796897547,5.9228896104,1.0,14.4074675325
15,2020-01-23,USD,1.4560454423,1.7634117753,4.1703182761,1.3162924894,0.9678117392,6.9332792354,22.6841583266,6.7380759174,0.7618609684,7.7721576053,6.711567938,304.0212785141,13651.9971147777,3.4564962582,71.3159318366,124.2448832387,109.5482823911,1167.7486250113,18.7112974484,4.0699666396,8.9872869895,1.5144711929,50.9548282391,3.8264358489,4.308718781,61.879091155,9.5097827067,1.3498331981,30.5499954918,5.9301235236,1.0,14.3813001533
16,2020-01-24,USD,1.46144087,1.7723606706,4.1761667422,1.3131853194,0.9707294971,6.9333031264,22.8001812415,6.7720888083,0.7640507476,7.7725419121,6.7435432714,304.4947893068,13595.7498867241,3.452650657,71.2913457182,124.5129134572,109.6148618034,1168.210240145,18.7739012234,4.0649750793,9.0054372451,1.5119166289,50.8309922972,3.8572723154,4.3315813321,61.7754417762,9.548074309,1.3511554146,30.5600362483,5.9391934753,1.0,14.3710919801
17,2020-01-27,USD,1.4776417234,1.773968254,4.2146938776,1.3187301587,0.9695238095,6.9366893424,22.885260771,6.7780498866,0.7651519274,7.777324263,6.7496598639,306.1496598639,13604.9977324263,3.4604081633,71.4217687075,124.6258503401,108.9433106576,1177.6326530612,18.9310657596,4.0654875283,9.1032199546,1.5250793651,50.8698412698,3.8743764172,4.3363265306,62.6251247166,9.5959183673,1.3573696145,30.7201814059,5.9470294785,1.0,14.5515646259
18,2020-01-28,USD,1.4802362562,1.7771921854,4.1977283053,1.3190368015,0.9725579282,6.9366651522,22.9177646524,6.7903680145,0.7687687415,7.7762835075,6.7614720582,306.3880054521,13637.5011358473,3.455974557,71.2898682417,124.6706042708,109.0595184007,1178.7369377556,18.8383462063,4.0865061336,9.1556565198,1.5305770104,50.7751022263,3.8828714221,4.3420263517,62.6108132667,9.6313493866,1.3583825534,30.8450704225,5.949568378,1.0,14.6523398455
19,2020-01-29,USD,1.4815925825,1.7778383783,4.1895282247,1.3176983911,0.975274975,6.9366421234,22.91428052,6.7928370148,0.7688391964,7.7722934279,6.76483956,306.6903008817,13627.4975002273,3.4590491773,71.2817016635,123.5342241614,109.1355331334,1178.6655758567,18.7354785929,4.0799927279,9.1412598855,1.5333151532,50.8399236433,3.8939187347,4.3423325152,62.6993000636,9.6130351786,1.360876284,30.9699118262,5.9593673302,1.0,14.6094900464
