,DAY,base,EUR,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,USD,ZAR
11,2020-01-17,RUB,0.014652122,0.0236221511,0.0286566202,0.0679711939,0.0212426465,0.0157305182,0.1116286566,0.3684569118,0.1094938424,0.0124696884,0.1264360911,0.108979553,4.9171056198,222.4911537813,0.0562231225,1.1568832006,2.0132015619,1.792101041,18.8773544129,0.3052593792,0.0659946227,0.1448948344,0.0245891911,0.8285481945,0.0620766453,0.0700415388,1.0,0.1545066264,0.0219195745,0.4944505088,0.0957120565,0.0162755771,0.2352867054
12,2020-01-20,RUB,0.0146611443,0.0236836125,0.028674266,0.067969065,0.0212395998,0.0157416706,0.1115889015,0.3683612506,0.1095568669,0.0125022908,0.1262500458,0.1090173368,4.9318623319,221.6515779057,0.0561903017,1.1550635927,2.017373456,1.7907121651,18.8554044643,0.3033977202,0.0660074039,0.1448740974,0.024624858,0.8281933805,0.0622116336,0.0700714731,1.0,0.1547454459,0.0219081479,0.4933035223,0.0961829711,0.0162518785,0.2361103984
13,2020-01-21,RUB,0.0145496872,0.023537029,0.0284562782,0.0678902954,0.021114506,0.0156307289,0.1116426597,0.3647024589,0.1087225375,0.012371599,0.1256540084,0.1082132984,4.8788011058,221.1245453223,0.0558780736,1.1513822203,2.0049468936,1.7795722392,18.8872399243,0.3029157573,0.0658446093,0.1445656918,0.0244594791,0.8248072166,0.0617459625,0.0695256802,1.0,0.153532664,0.021815801,0.4916339299,0.0959377273,0.0161719773,0.2341030118
14,2020-01-22,RUB,0.0145574393,0.0235597597,0.0284714398,0.0676717123,0.0210573359,0.0156594374,0.1114080829,0.3659157939,0.1087862881,0.0122930296,0.1254414543,0.1082709547,4.8856221995,220.3662942874,0.0557244219,1.1480942856,2.0060151339,1.7749885724,18.7873944222,0.3019460385,0.0656220248,0.1449775379,0.0244302946,0.8224807623,0.0616915162,0.0695612679,1.0,0.1536217453,0.0217691947,0.4903673424,0.095603071,0.0161412887,0.2325550926
15,2020-01-23,RUB,0.0145708661,0.0235304917,0.0284977,0.0673946271,0.0212720075,0.0156403677,0.1120455893,0.3665884211,0.1088909968,0.0123120905,0.1256023232,0.1084626133,4.9131503524,220.6237496375,0.0558588724,1.1525045133,2.0078653535,1.7703602355,18.871457276,0.3023848137,0.0657728897,0.1452394795,0.0244746838,0.8234579288,0.0618372988,0.0696312551,1.0,0.1536832964,0.0218140437,0.4937046573,0.0958340437,0.0161605476,0.2324096861
16,2020-01-24,RUB,0.0146693815,0.0236573115,0.0286903763,0.0676023776,0.0212574007,0.0157138414,0.1122339708,0.369081638,0.1096242878,0.0123681956,0.125819285,0.1091622023,4.9290588712,220.0834101031,0.0558903434,1.154040241,2.0155730154,1.7744083838,18.9105930538,0.3039055761,0.0658024445,0.1457769785,0.0244743961,0.822834946,0.0624402223,0.0701181765,1.0,0.1545610041,0.0218720478,0.4946955517,0.0961416593,0.0161876625,0.2326343862
17,2020-01-27,RUB,0.0144834758,0.0235950304,0.028326782,0.067300367,0.0210575255,0.0154813873,0.1107652779,0.365432578,0.108232118,0.0122179705,0.1241885633,0.1077787852,4.8886075876,217.2450401337,0.0552559085,1.1404650934,1.9900295753,1.7396102786,18.8044759734,0.3022918652,0.0649178352,0.1453605082,0.0243525162,0.8122912569,0.0618661669,0.0692426011,1.0,0.1532279323,0.0216745215,0.490540842,0.0949623574,0.0159680321,0.2323598506
18,2020-01-28,RUB,0.014513114,0.0236418628,0.0283847485,0.0670447817,0.0210672364,0.015533386,0.11079021,0.3660352495,0.1084535987,0.0122785299,0.1242003274,0.1079920816,4.8935317953,217.8138315782,0.0551977267,1.1386191062,1.9911992476,1.7418639483,18.8264115455,0.3008800752,0.0652683765,0.1462312345,0.0244458893,0.8109637869,0.0620159876,0.0693494642,1.0,0.1538288497,0.0216956542,0.4926476564,0.0950246142,0.015971682,0.2340225127
19,2020-01-29,RUB,0.0144979014,0.0236301295,0.0283549956,0.0668193779,0.0210161579,0.0155547984,0.1106334858,0.3654630992,0.1083399178,0.012262325,0.1239614066,0.1078933824,4.8914469631,217.3468840385,0.0551688643,1.1368819363,1.9702648042,1.7406180455,18.7987038876,0.2988147966,0.0650723808,0.1457952461,0.0244550601,0.810853129,0.0621046604,0.0692564751,1.0,0.153319657,0.0217048082,0.4939435017,0.095046792,0.0159491414,0.233008822
20,2020-01-30,RUB,0.0143529888,0.0235561252,0.0280715755,0.0672236583,0.0209223518,0.015343345,0.1098061055,0.3624129671,0.10725845,0.0120827766,0.1229735374,0.1068192485,4.8564772885,216.6560693766,0.0546561813,1.1340439977,1.9505711772,1.722789245,18.8741802649,0.2970853386,0.0647133206,0.1460244374,0.0243613279,0.8072982077,0.0615355689,0.0685642275,1.0,0.1527129302,0.0215725422,0.4938145795,0.0946866671,0.0158299113,0.2334843746
